# ieee-iab.txt -- Ethernet vendor IAB file for arp-scan
#
# This file contains the Ethernet vendor IABs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an IAB-vendor mapping in the form:
#
# <IAB><TAB><Vendor>
#
# Where <IAB> is the first 36 bits of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-iab at 2018-12-24 19:37:33
# using data from http://standards-oui.ieee.org/iab/iab.txt
#
# Do not edit this file.  If you want to add additional MAC-Vendor mappings,
# edit the file mac-vendor.txt instead.
#
0050C2DD6	Transas Marine Limited                       
0050C29F2	Keith & Koep GmbH                            
0050C29EF	WoKa-Elektronik GmbH                         
0050C29EB	AFORE Solutions Inc.                         
0050C29E8	Hammock Corporation                          
0050C29E5	Halliburton Far East Pte Ltd                 
0050C29AD	Chronos Technology Ltd.                      
0050C29AA	TEKO TELECOM SpA                             
0050C29A6	Metodo2                                      
0050C29A0	Trs Systems, Inc.                            
0050C2A0C	Phytec Messtechnik GmbH                      
0050C2A0D	CHARLYROBOT                                  
0050C2A09	Innovative American Technology               
0050C2A03	EEG Enterprises Inc                          
0050C29FF	Humphrey Products                            
0050C29FC	ECTEC INC.                                   
0050C2A51	Y-products co.ltd.                           
0050C2A52	The VON Corporation                          
0050C2A4E	Conduant Corporation                         
0050C2A44	TORC Technologies                            
0050C2A3E	DUEVI SNC DI MORA E SANTESE                  
0050C2A1D	SAMH Engineering Services                    
0050C2A1A	DDL                                          
0050C2A17	Winners Satellite Electronics Corp.          
0050C2A16	Baudisch Electronic GmbH                     
0050C2A13	Talyst, Inc.                                 
0050C2A10	Essential Design & Integration P/L           
0050C29C2	Team Enginers                                
0050C29BE	Xad Communications Ltd                       
0050C29BA	Connor-Winfield                              
0050C29B7	St. Michael Strategies                       
0050C29B4	EUKREA ELECTROMATIQUE SARL                   
0050C29B0	Ebru GmbH                                    
0050C29E1	Enreduce Energy Control AB                   
0050C29DE	CHAUVIN ARNOUX                               
0050C29DB	Walter Grotkasten                            
0050C29D7	Melex Inc.                                   
0050C29D4	FIRST                                        
0050C2A34	Casabyte Inc.                                
0050C2A30	D-TA Systems                                 
0050C2A2A	Custom Control Concepts                      
0050C2A25	Saia-Burgess Controls AG                     
0050C2A21	ISAC SRL                                     
0050C2A20	Quorum Technologies Ltd                      
0050C29D1	Bladelius Design Group AB                    
0050C29CD	Uwe Schneider GmbH                           
0050C29CA	ESAB-ATAS GmbH                               
0050C29C7	Kumera Drives Oy                             
0050C299C	CaTs3 Limited                                
0050C2999	Cambustion Ltd                               
0050C2996	Commercial Timesharing Inc.                  
0050C2993	UNETCONVERGENCE CO., LTD                     
0050C2992	IDT Sound Processing Corporation             
0050C298F	BELIK S.P.R.L.                               
0050C298C	MGM-Devices Oy                               
0050C293F	TSB Solutions Inc.                           
0050C293C	FractureCode Corporation                     
0050C2938	Postec Data Systems Ltd                      
0050C2935	Image Video                                  
0050C2932	SMAVIS Inc.                                  
0050C292E	Goanna Technologies Pty Ltd                  
0050C292B	DSP DESIGN                                   
0050C2924	Link Electric & Safety Control Co.           
0050C2928	Cinetix GmbH                                 
0050C2921	iQue RFID Technologies BV                    
0050C2940	Phitek Systems Ltd.                          
0050C2942	Keith & Koep GmbH                            
0050C2969	Gehrke Kommunikationssysteme GmbH            
0050C2966	PCM Industries                               
0050C2989	Psigenics Corporation                        
0050C2988	Pantel International                         
0050C291E	Automation Tec                               
0050C2917	CIRTEM                                       
0050C291A	Xtone Networks                               
0050C2914	IO-Connect                                   
0050C2910	Autotank AB                                  
0050C297A	KST Technology Co., Ltd                      
0050C2973	Systèmes Pran                                
0050C2970	Tsuji Electronics Co.,Ltd                    
0050C28A9	Intelligent Security Systems                 
0050C289F	Datalink Technologies Gateways Inc.          
0050C289B	Sensata Technologies, Inc.                   
0050C290D	EVK DI Kerschhaggl GmbH                      
0050C290A	Board Level Limited                          
0050C2906	Gidel                                        
0050C28E5	Berthel GmbH                                 
0050C28DB	DCOM Network Technology (Pty) Ltd            
0050C2878	Acoustic Research Laboratories Pty Ltd       
0050C286E	HANYANG ELECTRIC CP., LTD                    
0050C28FE	Cross Country Systems AB                     
0050C28FB	Alfred Kuhse GmbH                            
0050C2894	Shockfish SA                                 
0050C288C	Z-App Systems                                
0050C2882	WARECUBE,INC.                                
0050C28BD	Matrix Switch Corporation                    
0050C28B3	VTQ Videtronik GmbH                          
0050C28D1	Bachmann Monitoring GmbH                     
0050C28EF	Technologies Sensio Inc                      
0050C2846	ESP-Planning Co.                             
0050C2843	Xtensor Systems Inc.                         
0050C283F	Phytec Messtechnik GmbH                      
0050C283C	hema electronic GmbH                         
0050C2831	St Jude Medical, Inc.                        
0050C2853	Ettus Research LLC                           
0050C2864	ATG Automatisierungstechnik GERA GmbH        
0050C285D	Ing. Knauseder Mechatronik GmbH              
0050C27EA	Monitor Business Machines Ltd.               
0050C27E0	C&D Technologies, Inc                        
0050C27FE	Wireless Cables Inc.                         
0050C27F7	MangoDSP                                     
0050C281F	2N TELEKOMUNIKACE a.s.                       
0050C281C	Telcom                                       
0050C2815	microC Design SRL                            
0050C2850	K.K. Rocky                                   
0050C284D	BMTI                                         
0050C2849	Design Analysis Associates, Inc.             
0050C2812	Femto SA                                     
0050C280B	Open Video, Inc.                             
0050C2808	ITB CompuPhase                               
0050C2801	JANUS srl                                    
0050C2829	Intellectronika                              
0050C2826	HEWI Heinrich Wilke GmbH                     
0050C2757	E S P Technologies Ltd                       
0050C2754	Abeo Corporation                             
0050C27A6	ASIANA IDT                                   
0050C279F	ZAO NPC                                      
0050C279C	Vital Systems Inc                            
0050C2799	AAVD                                         
0050C2769	BES GmbH                                     
0050C275E	Sky-Skan, Incorporated                       
0050C27CF	Emitech Corporation                          
0050C27CC	SWECO JAPS AB                                
0050C27CB	ViewPlus Technologies, Inc.                  
0050C27C7	Pyrosequencing AB                            
0050C27C4	MoBaCon                                      
0050C27C1	Primary Integration Encorp LLC               
0050C27BD	PROMATE ELECTRONIC CO.LTD                    
0050C27BA	Infodev Electronic Designers Intl.           
0050C27B7	Tattile srl                                  
0050C27B3	Elmec,  Inc.                                 
0050C27B0	IMP Telekom                                  
0050C27AD	Turun Turvatekniikka Oy                      
0050C2795	Ameli Spa                                    
0050C2792	SMARTRO Co.,Ltd.                             
0050C278F	ELMAR electronic                             
0050C278B	OMICRON electronics GmbH                     
0050C2788	HOSA TECHNOLOGY, INC.                        
0050C2785	Icon Time Systems                            
0050C2774	GeoSIG Ltd.                                  
0050C26DD	Zmicro Systems Inc                           
0050C26D3	DigiSensory technologies Pty Ltd             
0050C270E	AUDICO SYSTEMS OY                            
0050C270A	Efficient Channel Coding                     
0050C26F1	ITS Telecom                                  
0050C2722	Centric TSolve BV                            
0050C2718	illunis LLC                                  
0050C274D	Beceem Communications, Inc.                  
0050C274A	MONITOR ELECTRONICS LTD                      
0050C272F	Priority Electronics Ltd                     
0050C272C	Richard Griessbach Feinmechanik GmbH         
0050C2725	DSP DESIGN                                   
0050C26C9	NETAMI                                       
0050C26BF	Optoplan as                                  
0050C2743	Elektro-Top 3000 Ltd.                        
0050C2740	McQuay China                                 
0050C2739	Tattile srl                                  
0050C2736	Nika Ltd                                     
0050C2621	Version-T                                    
0050C261B	NCI Technologies Inc.                        
0050C261E	LESTER ELECTRONICS LTD                       
0050C2617	NARINET, INC.                                
0050C2614	Proserv                                      
0050C2635	Shockfish SA                                 
0050C2632	RoseTechnology A/S                           
0050C262F	QES                                          
0050C2628	DARE Development                             
0050C262B	First Control Systems AB                     
0050C2625	EBNeuro SpA                                  
0050C2684	REASON Tecnologia S.A.                       
0050C267A	CC Systems AB                                
0050C26AB	Softwareentwicklung                          
0050C26A0	GFP Lab S.r.l.                               
0050C2698	Navtech Radar Ltd                            
0050C26B5	TRIUMF                                       
0050C265C	VTZ d.o.o.                                   
0050C2652	Wideco Sweden AB                             
0050C2648	Fidelity Comtech, Inc.                       
0050C263D	IDERs Inc                                    
0050C2639	Qstreams Networks Inc.                       
0050C2670	Naim Audio                                   
0050C2666	Xworks NZ Limited                            
0050C268E	SELCO                                        
0050C25AE	CPS EUROPE B.V.                              
0050C25A4	Federal State Unitary Enterprise Experimental Factory for Sc
0050C25CF	Innomed Medical Inc                          
0050C25C8	Georgia Tech Research Institute              
0050C25C9	Shenzhen Quanlong Technique Co.Ltd           
0050C2604	HCJB Global                                  
0050C2600	Protec Fire Detection plc                    
0050C25FD	MEG Electronic Inc.                          
0050C25FA	LEA d.o.o.                                   
0050C25F9	ROTHARY Solutions AG                         
0050C25F6	CAMBRIDGE CONSULTANTS LTD                    
0050C2611	Brookhaven National Laboratory               
0050C260E	Automation and Control Technology, Inc.      
0050C260A	Gradual Tecnologia Ltda.                     
0050C2607	Telecom FM                                   
0050C2603	Cerus Corp                                   
0050C25DF	Gnutek Ltd.                                  
0050C25DA	TONNA ELECTRONIQUE                           
0050C25D6	BioAccess Tecnologia em Biometria Ltda.      
0050C25D3	Wexiodisk AB                                 
0050C25D2	DA-Design Oy                                 
0050C259D	DSS Networks, Inc.                           
0050C2593	Broadlight                                   
0050C25C5	Radiant Imaging, Inc.                        
0050C25BE	Card Access Services Pty Ltd                 
0050C25BF	Techimp Systems S.r.l.                       
0050C25BB	UNIC TECHNOLOGIES INC                        
0050C25B8	WestfaliaSurge GmbH                          
0050C25B5	RAFAEL                                       
0050C25B1	Rosta Ltd                                    
0050C25F0	DIAS Infrared GmbH                           
0050C25EC	ASiS Technologies Pte Ltd                    
0050C25E9	Micro Technology Services Inc.               
0050C25E6	Musatel                                      
0050C25F3	POSNET Polska S.A.                           
0050C250D	Clearsonics Pty. Ltd.                        
0050C250A	Monitor Business Machines Ltd                
0050C2500	Orenco Systems, Inc.                         
0050C2503	RESPIRONICS INC.                             
0050C258A	Dixell S.p.a.                                
0050C257F	Orderite, Inc.                               
0050C2580	Buyang Electronics Industrial co.,Ltd.       
0050C2574	Ingeniería AlmudÃ­ S.L.                      
0050C2566	ubinetsys.co..ltd                            
0050C2562	C21 Systems Limited                          
0050C2524	Motec Pty Ltd                                
0050C2570	Ellex Medical Pty Ltd                        
0050C256C	Targeted Technologies, LLC                   
0050C251A	SpeasTech, Inc.                              
0050C24E2	Applied Research Laboratories: UT            
0050C24DB	Alfing Montagetechnik GmbH                   
0050C24D8	Avantry Ltd.                                 
0050C24EF	Creative Retail Entertainment                
0050C24EC	Thales Defence and Security Systems GmbH     
0050C24E5	Sedo Systems Ltd                             
0050C24D1	SLICAN sp. z o.o.                            
0050C24CE	Open Date Equipment Limited                  
0050C24C7	Transbit Sp.z o.o.                           
0050C24C4	Black Diamond Video, Inc.                    
0050C24BD	Argon ST                                     
0050C24BA	Mistletoe Technologies                       
0050C24B3	ANSA Corporation                             
0050C24AF	Orbis Oy                                     
0050C24AA	HEINEN ELEKTRONIK GmbH                       
0050C24A0	Advanced technologies & Engineering (pty) Ltd
0050C2484	Kooltech LLC                                 
0050C24F9	RTDS Technologies Inc.                       
0050C24F6	REAL D                                       
0050C2498	Quartet Technology, Inc.                     
0050C248E	Teledyne Tekmar                              
0050C241E	Videotek Sistemas Eletronicos Ltda.          
0050C2414	Talleres de Escoriaza SA                     
0050C241B	LogiM GmbH Software und Entwicklung          
0050C2417	QT systems ab                                
0050C2418	Planea Oy                                    
0050C2411	Multimessage Systems Ltd.                    
0050C240D	Afonics Fibreoptics Ltd                      
0050C240E	ads-tec GmbH                                 
0050C240A	Contec Steuerungstechnik & Automation GmbH   
0050C2463	Codem Systems, Inc.                          
0050C2460	Vitelnet                                     
0050C245C	Deister Electronic GmbH                      
0050C2439	Peleton Photonic Systems                     
0050C2435	ADATEL TELECOMUNICACIONES S.A.               
0050C2432	Topway Industries Ltd.                       
0050C2456	DRDC Valcartier                              
0050C244F	kippdata GmbH                                
0050C2407	AIE Etudes                                   
0050C2404	NanShanBridge Co.Ltd                         
0050C23FD	HARTMANN software GbR                        
0050C2400	SmartMotor AS                                
0050C23FA	Tumsan                                       
0050C23F6	dAFTdATA Limited                             
0050C2446	Micro Technic A-S                            
0050C2443	Pickering Laboratories                       
0050C243F	ARVOO Imaging Products BV                    
0050C243C	Ducommun LaBarge Technologies, Inc           
0050C23F0	megatec electronic GmbH                      
0050C23EC	Teneros                                      
0050C23E4	CUE, a.s.                                    
0050C242B	VLSIP TECHNOLOGIES, INC.                     
0050C2428	Roxar A/S                                    
0050C2425	Pinnacle Technology                          
0050C2421	EFSYS                                        
0050C2422	ads-tec GmbH                                 
0050C2470	Cybectec inc.                                
0050C246D	Paul Scherrer Institut (PSI)                 
0050C246A	ISE GmbH                                     
0050C2466	LONAP Limited                                
0050C23A4	Silvertree Engineering Ltd                   
0050C23A7	Elektrotechnik & Elektronik Oltmann GmbH     
0050C23A1	Samsoft                                      
0050C2352	LUCEO                                        
0050C234B	Ecutel Systems, Inc.                         
0050C2345	ACT                                          
0050C2348	KoolSpan, Inc.                               
0050C238D	A&G Soluzioni Digitali                       
0050C2385	SUNGJIN NEOTECH Co.Ltd.                      
0050C2382	Colorado vNet                                
0050C237D	VeroTrak Inc.                                
0050C237A	IDA Corporation                              
0050C2376	CLEODE                                       
0050C2377	Xycom VME                                    
0050C2370	Europe Technologies                          
0050C2373	Companion Worlds, inc.                       
0050C236D	Oplink Communications                        
0050C23DD	ELMIC GmbH                                   
0050C23D6	Comlab Inc.                                  
0050C23D3	American LED-gible Inc.                      
0050C23CF	Technovare Systems, Inc.                     
0050C23B5	NEC TOKIN Corporation                        
0050C23B2	Tennessee Valley Authority                   
0050C23AB	taskit Rechnertechnik GmbH                   
0050C239D	DigitalDeck, Inc.                            
0050C2397	MANGO DSP Ltd.                               
0050C239A	Optical Air Data Systems                     
0050C2390	TC Communications                            
0050C23C9	Dilax Intelcom AG                            
0050C23C5	Silicon Optix Canada Inc.                    
0050C23C2	Casabyte Inc.                                
0050C23BF	Audio Processing Technology Ltd              
0050C23BC	Tyzx, Inc.                                   
0050C2363	Septentrio nv/sa                             
0050C2327	Dornier GmbH                                 
0050C22AE	Quest Retail Technology Pty Ltd              
0050C2341	Novx Systems                                 
0050C233E	CA Technology, Inc                           
0050C2331	Broadcast Sports Inc                         
0050C231C	Casa Systems Inc.                            
0050C2314	MicroBee Systems, Inc                        
0050C2268	Parabit Systems                              
0050C225E	MITE Hradec Kralove, s.r.o.                  
0050C22A4	Xipher Embedded Networking                   
0050C229A	Packet Techniques Inc.                       
0050C2290	EBNEURO SPA                                  
0050C2241	Contronics Automacao Ltda                    
0050C224B	Azimuth Systems, Inc.                        
0050C227C	Danlaw Inc                                   
0050C2272	Verex Technology                             
0050C2286	ATEME                                        
0050C21FF	Product Design Dept., Sohwa Corporation      
0050C21FB	Willowglen Systems Inc.                      
0050C21F5	Abest Communication Corp.                    
0050C21E1	Automaatiotekniikka Seppo Saari Oy           
0050C21DE	ReliOn Inc.                                  
0050C21D7	Pleora Technologies Inc.                     
0050C21D4	Phase IV Engineering Inc.                    
0050C21EF	M2 Technology Pty Ltd                        
0050C21F0	EXI Wireless Systems Inc.                    
0050C21E8	Metrotech                                    
0050C21CD	INCAA Informatica Italia  srl                
0050C21CE	Datatek Applications, Inc.                   
0050C21CA	EVER Sp. z o.o.                              
0050C21C0	WillMonius Inc.                              
0050C21C4	Palm Solutions Group                         
0050C21BA	INTERZEAG AG                                 
0050C21B6	DTS, Inc.                                    
0050C2223	visicontrol GmbH                             
0050C2219	Aeroflex GmbH                                
0050C2209	LK Ltd                                       
0050C2205	SystIng                                      
0050C220F	OMICRON electronics GmbH                     
0050C2237	Tandata Systems Ltd                          
0050C222D	asetek Inc.                                  
0050C218D	CCII Systems (Pty) Ltd                       
0050C2185	Optical Wireless Link Inc.                   
0050C2182	wolf-inf-tec                                 
0050C217F	PDQ Manufacturing                            
0050C21B0	BLANKOM Antennentechnik GmbH                 
0050C21AC	Beckmann+Egle GmbH                           
0050C217B	Broadstorm Telecom                           
0050C2175	Sei S.p.A.                                   
0050C2171	Quantronix, Inc.                             
0050C2165	IPCAST                                       
0050C219C	Artec Design                                 
0050C2198	PotsTek, Inc                                 
0050C200B	IO Limited                                   
0050C2162	Teseda Corporation                           
0050C215B	Dune Networks                                
0050C21A6	RF Code                                      
0050C21A2	ABB Switzerland Inc                          
0050C2189	CC Systems AB                                
0050C2192	Advanced Concepts, Inc.                      
0050C2112	Compuworx                                    
0050C2075	ENTTEC Pty Ltd.                              
0050C210F	Perceptics Corp.                             
0050C212B	Dong A Eltek Co., Ltd.                       
0050C212A	Symbolic Sound Corp.                         
0050C2147	UniSUR                                       
0050C2158	Communication Solutions, Inc.                
0050C20F6	Carl Baasel Lasertechnik GmbH                
0050C2063	Ticketmaster Corp                            
0050C214E	Corinex Global                               
0050C2151	Redux Communications Ltd.                    
0050C213A	Tex Computer SRL                             
0050C213D	Formula One Management Ltd.                  
0050C2123	Seranoa Networks, Inc.                       
0050C211C	Stonefly Networks                            
0050C2119	Global Opto Communication Tech. Corp         
0050C2133	ChipWrights, Inc.                            
0050C20CB	STUDIEL                                      
0050C20C2	Alchemy Semiconductor, Inc.                  
0050C20C6	Advanced Medical Information Technologies, Inc.
0050C20BC	Infolink Software AG                         
0050C20F0	VHB Technologies, Inc.                       
0050C20EA	iReady Corporation                           
0050C20ED	Valley Products Corporation                  
0050C2108	Balogh S.A.                                  
0050C20FE	Energy ICT                                   
0050C20D6	Inco Startec GmbH                            
0050C20A1	Visable Genetics, Inc.                       
0050C20B2	R F Micro Devices                            
0050C20AF	Latus Lightworks, Inc.                       
0050C20AB	Fastware.Net, LLC                            
0050C20A7	WaterCove Networks                           
0050C209D	ZELPOS                                       
0050C209B	Seffle Instrument AB                         
0050C2094	Analytical Spectral Devices, Inc.            
0050C2091	StorLogic, Inc.                              
0050C208A	Rising Edge Technologies                     
0050C2087	Monitor Business Machines Ltd.               
0050C207D	Caspian Networks                             
0050C207B	Trikon Technologies Ltd.                     
0050C207A	RadioTel                                     
0050C2074	Edge Tech Co., Ltd.                          
0050C2077	Saco Smartvision Inc.                        
0050C2061	Simple Network Magic Corporation             
0050C2059	Austco Communication Systems Pty, Ltd        
0050C205A	Sonifex Ltd                                  
0050C2070	Katchall Technologies Group                  
0050C2054	Optionexist Limited                          
0050C204E	Industrial Electronic Engineers, Inc.        
0050C2050	Dataprobe, Inc.                              
0050C2068	Seabridge                                    
0050C205D	Ignitus Communications, LLC                  
0050C201F	KBS Industrieelektronik GmbH                 
0050C2026	Abatis Systems Corp.                         
0050C201C	Tadiran Scopus                               
0050C2040	MiSPO Co., Ltd.                              
0050C203D	ISDN Gateway Technology AG                   
0050C2030	Lockheed Martin Tactical Defense Systems Eagan
0050C203B	VNR Electronique SA                          
0050C203A	PLLB Elettronica SPA                         
0050C204A	Telecom Analysis Systems, LP                 
0050C2006	Project Management Enterprises, Inc.         
0050C2012	Floware System Solutions Ltd.                
0050C2F35	Grupo Epelsa S.L.                            
0050C2953	Grupo Epelsa S.L.                            
0050C2857	Grupo Epelsa S.L.                            
0050C28C7	TATTILE SRL                                  
0050C2080	AIM                                          
0050C2BF0	AIM                                          
0050C2A62	Grossenbacher Systeme AG                     
0050C20F1	Grossenbacher Systeme AG                     
0050C2029	Grossenbacher Systeme AG                     
0050C27A9	DELTA TAU DATA SYSTEMS, INC.                 
0050C2033	Doble Engineering                            
0050C21EB	Data Respons A/S                             
0050C2A06	CLOOS ELECTRONIC GMBH                        
0050C2F53	BAYCOM OPTO-ELECTRONICS TECHNOLGY CO., LTD.  
0050C247A	Efficient Channel Coding                     
0050C25AB	Eaton Corp. Electrical Group Data Center Solutions - Pulizzi
0050C244A	Elettronica Santerno SpA                     
0050C25CC	Enseo, Inc.                                  
0050C25C2	Intuitive Surgical, Inc                      
0050C2393	SYS TEC electronic GmbH                      
0050C23CC	Linkwell Telesystems Pvt Ltd                 
0050C2015	LEROY AUTOMATION                             
0050C2359	Kramer Electronics Ltd.                      
0050C216D	GD Mission Systems                          
0050C2192	GD Mission Systems                          
0050C27A3	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
0050C29F9	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
0050C2C0A	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
0050C25E2	PYRAMID Computer GmbH                        
0050C2188	dresden-elektronik                           
0050C2178	Partner Voxstream A/S                        
0050C20B9	Helmut Mauell GmbH Werk Weida                
0050C2594	Pixel Velocity, Inc                          
0050C2DAC	RFL Electronics, Inc.                        
0050C242F	Win4NET                                      
0050C27F4	Wireless Cables Inc.                         
0050C23E5	Vacon Plc                                    
0050C26FB	WaveIP                                       
0050C285A	ART SPA                                      
0050C200C	Aplex Technology Inc.                        
0050C2DAB	Aplex Technology Inc.                        
0050C2E00	Aplex Technology Inc.                        
0050C2060	Aplex Technology Inc.                        
0050C2EAD	Rohde&Schwarz Topex SA                       
0050C2C9E	Rohde&Schwarz Topex SA                       
0050C2BFA	Rohde&Schwarz Topex SA                       
0050C2FBD	EATON FHF Funke + Huster Fernsig GmbH        
0050C2C63	Potter Electric Signal Co. LLC               
0050C2A3A	Telecor Inc.                                 
0050C26E7	Ace Axis Limited                             
0050C2A48	Thales UK Limited                            
0050C20C8	Mettler Toledo Hi Speed                      
0050C2DD8	Leonardo MW Ltd (Land & Naval Defence Electronic)
0050C2C35	Insitu, Inc                                  
0050C23F3	ABB AG - Power Grids - Grid Automation       
0050C260D	Sicon srl                                    
0050C2E0A	Sicon srl                                    
0050C29A3	Computerwise, Inc.                           
0050C2589	HORIBA ABX SAS                               
0050C277E	Cominfo, Inc.                                
0050C2A47	PRIMETECH ENGINEERING CORP.                  
0050C2126	MaxLinear Hispania S.L.U.                    
0050C20D7	Avant Technologies                           
0050C2144	Phytec Messtechnik GmbH                      
0050C21C3	TT electronics plc                           
0050C25A7	Phytec Messtechnik GmbH                      
0050C2459	Phytec Messtechnik GmbH                      
0050C234F	North Pole Engineering, Inc.                 
0050C2945	Exi Flow Measurement Ltd                     
0050C2A80	ard sa                                       
0050C2FD1	Enyx SA                                      
0050C21D8	Guardian Controls International Ltd          
0050C2453	Erhardt+Leimer GmbH                          
0050C2452	Scame Sistemi srl                            
0050C2080	Honeywell                                    
0050C217A	ARGUS-SPECTRUM                               
0050C2761	Elbit Systems of America                     
0050C2FBA	Elbit Systems of America                     
0050C219F	Patria Aviation Oy                           
0050C21A1	KRONOTECH SRL                                
0050C21B8	Orion Systems, Inc                           
0050C21B0	Shin-ei Electronic Measuring Co.,Ltd.        
0050C21AC	ELAN SYSTEMS                                 
0050C21A2	HIPODROMO DE AGUA CALIENTE, S.A. DE C.V.     
0050C21D5	FST21 Ltd.                                   
0050C21D6	EMS Computers Pty Ltd                        
0050C21D3	Kaluga Teletypes Manufacturing Plant         
0050C21CB	MG S.r.l.                                    
0050C21C2	Digital Display Systems                      
0050C21C1	Triamec Motion AG                            
0050C21C0	NPB Automation AB                            
0050C2199	PRESSOL Schmiergeraete GmbH                  
0050C2197	Berg Cloud Limited                           
0050C2190	Spider Tecnologia Ind. e Com Ltda            
0050C218D	Zoe Medical                                  
0050C218C	EOS S.r.l.                                   
0050C21E1	AD QUALITE                                   
0050C213D	Perm Scientific-Industrial Instrument Making Company JSC
0050C213B	Davin Technologies Co.,Ltd                   
0050C2135	GLOBALCOM ENGINEERING SRL                    
0050C2136	Devriecom B.V.                               
0050C2132	AeroVision Avionics, Inc                     
0050C2180	BroadSoft Inc                                
0050C2173	Contec Steuerungstechnik & Automation GmbH   
0050C2175	AHB Systeme GmbH                             
0050C2128	Akse srl                                     
0050C211B	nanoTRONIC GmbH                              
0050C215E	Prodco International Inc.                    
0050C215C	Spectratech Inc.                             
0050C2152	Home Automation Europe                       
0050C2148	SEIKO TIME SYSTEMS INC.                      
0050C2168	OPASCA Systems GmbH                          
0050C2167	Assembly Contracts Ltd                       
0050C2169	Photop Koncent                               
0050C2126	TTI LTD                                      
0050C210D	Rite-Tech Industrial Co., Ltd.               
0050C2103	Peek Traffic Corporation                     
0050C2104	IMPLE SISTEMAS ELETRONICOS EMBARCADOS LTDA   
0050C2100	TASK SISTEMAS DE COMPUTACAO S.A.             
0050C20EA	A-Z-E                                        
0050C20E0	Richter                                      
0050C20DF	Xadi Inc                                     
0050C210F	CAVALRY STORAGE INC                          
0050C20F8	Better Place                                 
0050C20F5	CST Group                                    
0050C20F6	Private                                      
0050C20D5	Shimizu Electric Co., Ltd.                   
0050C20D3	LECO Corporation                             
0050C20CD	Logical Product                              
0050C20CB	ReliOn Inc                                   
0050C20CA	NEUTRIK AG                                   
0050C20C0	ACT                                          
0050C20EC	Sentry 360 Security                          
0050C20ED	IntelliDesign Pty Ltd                        
0050C20A7	First Design System Inc.                     
0050C20A5	WooshCom Corporation                         
0050C2090	Axxess Identification Ltd                    
0050C208D	Boehme Nachrichtentechnik                    
0050C208E	Lyngsoe Systems                              
0050C2088	JEL SYSTEM CO., LTD.                         
0050C2086	DSP DESIGN                                   
0050C2058	Energy Team S.p.A.                           
0050C204D	MACHINEPERFORMANCE ApS                       
0050C207B	IPS Technology Limited                       
0050C2079	DelfiSolutions A/S                           
0050C209B	Tokyo Denki Gijutsu Kogyo                    
0050C209A	CoherentPlus Sdn Bhd                         
0050C2066	TeraTron GmbH                                
0050C20B2	Ever Trend Technology Development Limited    
0050C2FF5	Flexkom Internet Pazarlama Bilipim ve Eoitim Hiz.Inp.Mim.Muh.Oto.Enerji San. Tic. A.p.
0050C2FEB	Axible Technologies                          
0050C2029	Depro Electronique                           
0050C2021	SMT D.O.O.                                   
0050C201F	Sitep Italia Spa                             
0050C2013	Grande Vitesse Systems                       
0050C2015	BITMILL srl                                  
0050C2014	Toni Studio                                  
0050C2FFF	MSR-Solutions GmbH                           
0050C2036	Schweers informationstechnologie GmbH        
0050C2034	Dacom West GmbH                              
0050C2FDD	Toptech Systems, Inc.                        
0050C2FD7	Deuta-Werke GmbH                             
0050C2FD3	Aster Electric Co.,Ltd.                      
0050C204B	Vital Tech Industria e Comercio Ltda         
0050C2040	GHL Systems Berhad                           
0050C2041	T.Q.M. Itaca Technology s.r.l.               
0050C2002	Hangzhou Chenxiao Technologies Co. Ltd.      
0050C2FFE	Sensata Technologies                         
0050C2FFB	SEFRAM                                       
0050C2FE1	dotOcean                                     
0050C2FCD	Jinyoung Contech                             
0050C2FC9	Mehta Tech, Inc.                             
0050C2F61	Brauch Elektronik GmbH&Co.KG                 
0050C2F5A	Sentry 360 Security                          
0050C2F57	Reach Technologies Inc.                      
0050C2F96	JLCooper Electronics                         
0050C2F93	Baudisch Electronic GmbH                     
0050C2FC3	HSDC Sp. z o.o.                              
0050C2FBF	MYLOGIC                                      
0050C2FB9	Coral Telecom Ltd                            
0050C2FB5	Assembly Contracts Limited                   
0050C2FAF	Vremya-CH JSC                                
0050C2F82	Sincair Systems International                
0050C2F7F	Dynamic Design                               
0050C2F78	Gets MSS S.A.                                
0050C2F75	PumpWell Solutions Ltd.                      
0050C2F8C	UBSTechnology Co., Ltd                       
0050C2F89	CSA Engineering AG                           
0050C2F6E	Smith Meter, Inc.                            
0050C2F64	Chrisso Technologies LLC                     
0050C2FAC	ADETEL GROUP                                 
0050C2F9E	Matsusada Precision Inc.                     
0050C2F50	Moritex Corporation                          
0050C2F4D	KNOWHOW INFOCOM INC.                         
0050C2EF8	HCL Technologies                             
0050C2EF7	Amstelland Electronic BV                     
0050C2EF4	RO.VE.R. Laboratories S.p.A                  
0050C2EEA	Positioneering Limited                       
0050C2F30	Miris AB                                     
0050C2F29	RADYNE CORPORATION                           
0050C2F46	Reason Tecnologia S.A.                       
0050C2F47	cadac,inc.                                   
